app,method,src,dst,src_perf,dst_perf,gap,required_epsilon_absolute,required_epsilon_relative
nginx,REQ,C66,C63,21264.090000,21407.274000,143.184000,143.184000,0.006734
redis,GET,C89,C88,129905.582000,130039.192000,133.610000,133.610000,0.001029
nginx,REQ,C56,C52,23354.890000,23483.952000,129.062000,129.062000,0.005526
nginx,REQ,C83,C80,18556.572000,18676.202000,119.630000,119.630000,0.006447
nginx,REQ,C82,C80,18557.950000,18676.202000,118.252000,118.252000,0.006372
nginx,REQ,C30,C29,30569.426000,30652.808000,83.382000,83.382000,0.002728
nginx,REQ,C72,C71,19793.240000,19856.046000,62.806000,62.806000,0.003173
redis,GET,C70,C69,159182.518000,159242.138000,59.620000,59.620000,0.000375
nginx,REQ,C56,C54,23354.890000,23411.350000,56.460000,56.460000,0.002417
nginx,REQ,C93,C91,16096.476000,16130.300000,33.824000,33.824000,0.002101
nginx,REQ,C75,C74,19632.992000,19651.596000,18.604000,18.604000,0.000948
nginx,REQ,C67,C64,21263.040000,21280.602000,17.562000,17.562000,0.000826
nginx,REQ,C93,C92,16096.476000,16107.452000,10.976000,10.976000,0.000682
nginx,REQ,C44,C43,25764.840000,25771.856000,7.016000,7.016000,0.000272
nginx,REQ,C77,C76,19624.696000,19630.832000,6.136000,6.136000,0.000313
nginx,REQ,C89,C88,17206.146000,17210.618000,4.472000,4.472000,0.000260
