search_method,method_label,dataset,threshold,step,candidate_size_before,centroid,a_count,d_count,queried_value,feasible,pruned_count,candidate_size_after
random,Random-candidate,redis:GET,302000.000000,7,60,C36,12,2,226024.868000,0,2,58
random,Random-candidate,redis:GET,302000.000000,8,58,C30,8,1,234695.008000,0,1,57
random,Random-candidate,redis:GET,302000.000000,9,57,C72,12,1,155808.436000,0,1,56
random,Random-candidate,redis:GET,302000.000000,10,56,C83,15,2,133964.308000,0,2,54
random,Random-candidate,redis:GET,302000.000000,11,54,C24,8,3,244875.424000,0,3,51
random,Random-candidate,redis:GET,302000.000000,12,51,C42,7,5,201084.962000,0,5,46
random,Random-candidate,redis:GET,302000.000000,13,46,C28,4,2,241036.912000,0,2,44
random,Random-candidate,redis:GET,302000.000000,14,44,C68,6,2,159631.010000,0,2,42
random,Random-candidate,redis:GET,302000.000000,15,42,C18,4,2,277331.024000,0,2,40
random,Random-candidate,redis:GET,302000.000000,16,40,C54,7,1,184163.806000,0,1,39
random,Random-candidate,redis:GET,302000.000000,17,39,C13,6,2,319083.110000,1,6,33
random,Random-candidate,redis:GET,302000.000000,18,33,C33,4,1,228113.362000,0,1,32
random,Random-candidate,redis:GET,302000.000000,19,32,C20,2,10,267991.450000,0,10,22
random,Random-candidate,redis:GET,302000.000000,20,22,C14,2,2,312228.840000,1,2,20
random,Random-candidate,redis:GET,302000.000000,21,20,C84,6,1,133203.654000,0,1,19
random,Random-candidate,redis:GET,302000.000000,22,19,C25,2,3,243915.186000,0,3,16
random,Random-candidate,redis:GET,302000.000000,23,16,C17,4,1,290740.720000,0,1,15
random,Random-candidate,redis:GET,302000.000000,24,15,C19,2,2,271591.840000,0,2,13
random,Random-candidate,redis:GET,302000.000000,25,13,C08,2,1,449256.558000,1,2,11
random,Random-candidate,redis:GET,302000.000000,26,11,C16,1,1,300662.104000,0,1,10
random,Random-candidate,redis:GET,302000.000000,27,10,C44,4,1,197106.394000,0,1,9
random,Random-candidate,redis:GET,302000.000000,28,9,C53,4,1,184434.886000,0,1,8
random,Random-candidate,redis:GET,302000.000000,29,8,C22,2,1,257732.398000,0,1,7
random,Random-candidate,redis:GET,302000.000000,30,7,C29,2,1,235854.838000,0,1,6
random,Random-candidate,redis:GET,302000.000000,31,6,C45,2,1,195654.710000,0,1,5
