rank,app,method,src,dst,src_perf,dst_perf,delta,ratio,ratio_percent
24,nginx,REQ,C72,C71,19793.240000,19856.046000,62.806000,0.003173,0.32
25,nginx,REQ,C30,C29,30569.426000,30652.808000,83.382000,0.002728,0.27
26,nginx,REQ,C56,C54,23354.890000,23411.350000,56.460000,0.002417,0.24
27,nginx,REQ,C93,C91,16096.476000,16130.300000,33.824000,0.002101,0.21
28,nginx,REQ,C75,C74,19632.992000,19651.596000,18.604000,0.000948,0.09
29,nginx,REQ,C67,C64,21263.040000,21280.602000,17.562000,0.000826,0.08
30,nginx,REQ,C93,C92,16096.476000,16107.452000,10.976000,0.000682,0.07
31,nginx,REQ,C77,C76,19624.696000,19630.832000,6.136000,0.000313,0.03
32,nginx,REQ,C44,C43,25764.840000,25771.856000,7.016000,0.000272,0.03
33,nginx,REQ,C89,C88,17206.146000,17210.618000,4.472000,0.000260,0.03
1,redis,GET,C96,C91,116521.014000,125691.902000,9170.888000,0.078706,7.87
2,redis,GET,C96,C92,116521.014000,125471.068000,8950.054000,0.076811,7.68
3,redis,GET,C45,C41,195654.710000,209383.396000,13728.686000,0.070168,7.02
4,redis,GET,C39,C37,212216.426000,222902.226000,10685.800000,0.050353,5.04
5,redis,GET,C79,C73,142334.164000,148899.164000,6565.000000,0.046124,4.61
6,redis,GET,C96,C94,116521.014000,121706.286000,5185.272000,0.044501,4.45
7,redis,GET,C20,C18,267991.450000,277331.024000,9339.574000,0.034850,3.49
8,redis,GET,C80,C74,141346.412000,146001.678000,4655.266000,0.032935,3.29
9,redis,GET,C55,C49,182449.132000,188324.718000,5875.586000,0.032204,3.22
10,redis,GET,C55,C51,182449.132000,187971.254000,5522.122000,0.030267,3.03
11,redis,GET,C45,C42,195654.710000,201084.962000,5430.252000,0.027754,2.78
12,redis,GET,C94,C93,121706.286000,125007.950000,3301.664000,0.027128,2.71
13,redis,GET,C61,C58,174003.436000,178308.252000,4304.816000,0.024740,2.47
14,redis,GET,C80,C77,141346.412000,144244.430000,2898.018000,0.020503,2.05
15,redis,GET,C84,C81,133203.654000,135430.100000,2226.446000,0.016715,1.67
16,redis,GET,C67,C65,161007.466000,163026.556000,2019.090000,0.012540,1.25
17,redis,GET,C79,C78,142334.164000,144007.682000,1673.518000,0.011758,1.18
18,redis,GET,C70,C66,159182.518000,161033.960000,1851.442000,0.011631,1.16
19,redis,GET,C84,C82,133203.654000,134579.964000,1376.310000,0.010332,1.03
20,redis,GET,C31,C30,232396.528000,234695.008000,2298.480000,0.009890,0.99
21,redis,GET,C75,C74,144615.332000,146001.678000,1386.346000,0.009586,0.96
22,redis,GET,C26,C24,242586.198000,244875.424000,2289.226000,0.009437,0.94
23,redis,GET,C45,C44,195654.710000,197106.394000,1451.684000,0.007420,0.74
24,redis,GET,C59,C58,177242.900000,178308.252000,1065.352000,0.006011,0.60
25,redis,GET,C36,C34,226024.868000,227380.762000,1355.894000,0.005999,0.60
26,redis,GET,C84,C83,133203.654000,133964.308000,760.654000,0.005710,0.57
27,redis,GET,C78,C77,144007.682000,144244.430000,236.748000,0.001644,0.16
28,redis,GET,C89,C88,129905.582000,130039.192000,133.610000,0.001029,0.10
29,redis,GET,C70,C69,159182.518000,159242.138000,59.620000,0.000375,0.04
1,redis,SET,C70,C69,129889.726000,138850.468000,8960.742000,0.068987,6.90
2,redis,SET,C43,C52,155689.350000,162761.728000,7072.378000,0.045426,4.54
3,redis,SET,C88,C93,100936.388000,105020.116000,4083.728000,0.040458,4.05
4,redis,SET,C94,C93,100986.082000,105020.116000,4034.034000,0.039946,3.99
5,redis,SET,C80,C77,123236.624000,127993.112000,4756.488000,0.038596,3.86
6,redis,SET,C80,C74,123236.624000,127866.140000,4629.516000,0.037566,3.76
7,redis,SET,C78,C77,124075.252000,127993.112000,3917.860000,0.031576,3.16
8,redis,SET,C94,C95,100986.082000,104027.804000,3041.722000,0.030120,3.01
9,redis,SET,C70,C66,129889.726000,133765.594000,3875.868000,0.029840,2.98
10,redis,SET,C92,C93,101984.356000,105020.116000,3035.760000,0.029767,2.98
11,redis,SET,C91,C95,101164.560000,104027.804000,2863.244000,0.028303,2.83
12,redis,SET,C43,C49,155689.350000,159337.420000,3648.070000,0.023432,2.34
13,redis,SET,C79,C73,122869.574000,125432.602000,2563.028000,0.020860,2.09
14,redis,SET,C73,C74,125432.602000,127866.140000,2433.538000,0.019401,1.94
15,redis,SET,C55,C49,157005.124000,159337.420000,2332.296000,0.014855,1.49
16,redis,SET,C51,C58,149905.910000,151573.978000,1668.068000,0.011127,1.11
17,redis,SET,C71,C76,127782.960000,129127.364000,1344.404000,0.010521,1.05
18,redis,SET,C79,C78,122869.574000,124075.252000,1205.678000,0.009813,0.98
19,redis,SET,C84,C82,109346.466000,110316.186000,969.720000,0.008868,0.89
20,redis,SET,C83,C85,109856.582000,110546.398000,689.816000,0.006279,0.63
21,redis,SET,C84,C83,109346.466000,109856.582000,510.116000,0.004665,0.47
22,redis,SET,C36,C34,209019.194000,209730.084000,710.890000,0.003401,0.34
23,redis,SET,C79,C80,122869.574000,123236.624000,367.050000,0.002987,0.30
24,redis,SET,C68,C72,133478.666000,133793.374000,314.708000,0.002358,0.24
25,redis,SET,C75,C74,127610.796000,127866.140000,255.344000,0.002001,0.20
