ConfigID,CompartmentLayout,SFI,REQ_mean,REQ_std
C49,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:N newlib:Y lwip:Y uksched:N,23687.942,127.647
C50,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:N newlib:Y lwip:Y uksched:N,23652.054,100.591
C51,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:N newlib:Y lwip:Y uksched:N,23484.640,127.665
C52,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:Y newlib:N lwip:N uksched:Y,23483.952,147.357
C53,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:Y newlib:N lwip:N uksched:N,23442.450,100.013
C54,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:Y newlib:N lwip:N uksched:Y,23411.350,68.002
C55,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:N newlib:Y lwip:Y uksched:Y,23388.542,103.155
C56,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:Y newlib:N lwip:N uksched:Y,23354.890,69.723
C57,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:N newlib:Y lwip:Y uksched:Y,23334.824,61.824
C58,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:N newlib:Y lwip:Y uksched:Y,23275.824,60.485
C59,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:Y newlib:N lwip:N uksched:N,23244.012,83.805
C60,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:Y newlib:N lwip:N uksched:N,23220.852,109.524
C61,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:Y newlib:N lwip:Y uksched:N,22491.700,77.371
C62,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:Y newlib:N lwip:Y uksched:Y,22131.668,76.926
C63,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:Y newlib:Y lwip:N uksched:Y,21407.274,25.933
C64,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:Y newlib:N lwip:Y uksched:Y,21280.602,34.252
C65,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:Y newlib:N lwip:Y uksched:N,21271.516,136.301
