ConfigID,CompartmentLayout,SFI,GET_mean,GET_std,SET_mean,SET_std
C43,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:N lwip:N uksched:N,200644.508,784.629,155689.350,12917.505
C44,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:N lwip:Y uksched:N,197106.394,6484.438,168862.332,311.911
C45,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:N lwip:N uksched:N,195654.710,26287.605,177313.002,5333.496
C46,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:N lwip:N uksched:N,194521.922,8068.180,165728.370,10211.433
C47,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:Y lwip:N uksched:N,194352.642,2547.505,145969.538,2191.952
C48,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:N lwip:N uksched:Y,189365.556,17829.459,166446.472,600.704
C49,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:N lwip:Y uksched:N,188324.718,433.552,159337.420,226.838
C50,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:Y lwip:N uksched:Y,188296.514,3176.173,142736.510,552.646
C51,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:N lwip:Y uksched:N,187971.254,558.665,149905.910,16512.444
C52,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:N lwip:N uksched:Y,184483.662,8686.430,162761.728,516.335
C53,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:Y lwip:Y uksched:N,184434.886,504.999,139827.748,1084.187
C54,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:Y lwip:N uksched:N,184163.806,635.016,140163.294,2222.521
C55,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:N lwip:Y uksched:N,182449.132,7242.361,157005.124,4710.202
C56,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:N lwip:Y uksched:Y,181319.856,21040.739,164312.350,408.771
C57,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:Y lwip:N uksched:Y,180318.406,1359.162,137106.260,1116.528
C58,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:N lwip:Y uksched:Y,178308.252,6223.761,151573.978,5306.984
C59,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:N lwip:N uksched:Y,177242.900,19531.626,156869.400,9866.343
C60,redis:C1 | newlib:C1 | lwip:C1 | uksched:C1,redis:Y newlib:Y lwip:Y uksched:Y,175530.000,5693.490,137175.040,376.922
C61,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:N lwip:Y uksched:Y,174003.436,19530.719,154655.500,272.833
C62,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:Y lwip:Y uksched:N,172093.200,4433.878,134235.656,1113.635
C63,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:N lwip:Y uksched:Y,168802.756,13435.601,153432.282,4402.167
C64,redis:C1 | newlib:C1 | lwip:C2 | uksched:C1,redis:Y newlib:Y lwip:Y uksched:Y,166961.408,1842.122,130039.228,2329.793
C65,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:Y lwip:N uksched:Y,163026.556,402.887,137175.558,478.835
C66,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:Y lwip:N uksched:N,161033.960,4553.323,133765.594,10833.998
C67,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:Y lwip:N uksched:N,161007.466,6049.771,138449.522,3184.148
C68,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:Y lwip:Y uksched:N,159631.010,4176.200,133478.666,8432.955
C69,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:Y lwip:N uksched:N,159242.138,5580.621,138850.468,161.364
C70,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:Y lwip:N uksched:N,159182.518,5419.899,129889.726,2975.483
C71,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:Y lwip:N uksched:Y,156402.828,1101.101,127782.960,6034.026
C72,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:N newlib:Y lwip:Y uksched:Y,155808.436,4197.491,133793.374,3310.707
C73,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:Y lwip:Y uksched:N,148899.164,432.753,125432.602,5192.957
C74,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:Y lwip:Y uksched:Y,146001.678,7772.662,127866.140,2901.167
C75,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:N newlib:Y lwip:N uksched:Y,144615.332,13848.443,127610.796,3818.021
C76,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:Y lwip:N uksched:Y,144295.940,12813.396,129127.364,3108.818
C77,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:Y lwip:Y uksched:Y,144244.430,7441.162,127993.112,2798.976
C78,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:N newlib:Y lwip:Y uksched:N,144007.682,7076.821,124075.252,5347.876
C79,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:Y lwip:Y uksched:N,142334.164,9741.384,122869.574,7411.509
C80,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:N newlib:Y lwip:Y uksched:Y,141346.412,5000.396,123236.624,2829.390
C81,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:Y lwip:N uksched:Y,135430.100,603.017,108730.310,2142.705
C82,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:N,134579.964,3200.556,110316.186,2265.948
C83,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:Y lwip:N uksched:N,133964.308,3977.898,109856.582,4198.629
C84,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:Y lwip:N uksched:N,133203.654,8775.071,109346.466,2773.905
C85,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:Y lwip:N uksched:N,132998.366,3854.610,110546.398,204.736
C86,redis:C1 | newlib:C1 | lwip:C1 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:Y,132842.558,921.082,108146.026,2233.053
C87,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:Y lwip:N uksched:N,130370.184,3178.672,108816.128,2584.387
C88,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:Y lwip:N uksched:Y,130039.192,169.105,100936.388,10113.447
C89,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:Y lwip:N uksched:Y,129905.582,6417.010,106012.198,2774.623
C90,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:Y lwip:N uksched:Y,128350.168,3500.760,105131.452,377.725
C91,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:N,125691.902,307.087,101164.560,3737.851
C92,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:Y lwip:Y uksched:N,125471.068,294.049,101984.356,2451.221
C93,redis:C1 | newlib:C1 | lwip:C2 | uksched:C3,redis:Y newlib:Y lwip:Y uksched:Y,125007.950,3259.234,105020.116,143.744
C94,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:Y,121706.286,2766.395,100986.082,2135.587
C95,redis:C1 | newlib:C1 | lwip:C3 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:Y,120538.022,9938.384,104027.804,2088.291
C96,redis:C1 | newlib:C1 | lwip:C2 | uksched:C2,redis:Y newlib:Y lwip:Y uksched:N,116521.014,11249.685,102297.408,2464.626
